,Substrate,,Product,Boronic Ester,Active Catalyst-Ligand,Catalyst,Ligand,Buried_Vol,PyramidalizationAR,PyramidalizationG,SASA_area,SASA_vol,Sterimol_L,SterimolB_1,Sterimol_B_5,Buried_Sterimol_L,Buried_SterimolB_1,Buried_Sterimol_B_5,Hirshfeld Heavy Atom Charge,CM5 Charge,Hirshfeld Carbon Charge,Hirshfeld Hydrogen Charge,ESP Heavy Atom Charge,ESP Carbon Charge,ESP Hydrogen Charge,NPA Carbon Charge,NPA Hydrogen Charge,MBS Heavy Atom Charge,MBS Carbon Charge,MBS Hydrogen Charge,Mulliken Heavy Charge,Mulliken Carbon Charge,Mulliken Hydrogen Charge,Solvent,Temp,Aliphatic Atom Count,Aliphatic Bond Count,Aliphatic Ring Count,Aromatic Atom Count,Aromatic Bond Count,Aromatic Ring Count,Steric Effect Index,Atomic_Polarizability,Balaban Index,Chain Atom Count,Distance Degree,Dreiding Energy,Eccentricity,Harary Index,Hydrogen Acceptor Count,Hydrogen Acceptor Site Count,Heteroatom Aromatic Ring Count,Hydrogen Donor Count,Hydrogen Donor Site Count,Hyper Wiener Index,Largest Ring Size,Max Projection Area,Max Projection Radius,MaxZ,Moleculare Polarizability,Platt Index,Refractivity,Ring Atom Count,Rot Bond Count,Sigma Electronegativity,Wiener Index,Product_Ratio
0,"InChI=1S/C8H10F5NS/c1-14(2)7-4-3-5-8(6-7)15(9,10,11,12)13/h3-6H,1-2H3",,"InChI=1S/C14H21BF5NO2S/c1-13(2)14(3,4)23-15(22-13)10-7-11(21(5)6)9-12(8-10)24(16,17,18,19)20/h7-9H,1-6H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.02023,0.020748,-0.035498,0.055727,0.059252,-0.0388,0.098051,-0.16943,0.21449,0.030732,-0.086959,0.117691,-0.614189,-0.749219,0.135031,1,80,9,9,0,6,6,1,2.53248532,1.359456,2.637184583,9,46,250.1,5,44.71666667,1,1,0,0,0,815,6,60.95419934,5.638822225,6.401753873,18.69286116,56,53.1652,6,2,8.741901077,332,1
1,"InChI=1S/C8H10F5NS/c1-14(2)7-4-3-5-8(6-7)15(9,10,11,12)13/h3-6H,1-2H3",,"InChI=1S/C14H21BF5NO2S/c1-13(2)14(3,4)23-15(22-13)11-8-7-10(21(5)6)9-12(11)24(16,17,18,19)20/h7-9H,1-6H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.003218,-0.0058,-0.059269,0.056052,-0.031005,-0.181621,0.150616,-0.24796,0.23995,0.025675,-0.114211,0.139886,0.701912,0.547226,0.154686,1,80,9,9,0,6,6,1,2.905999846,1.359456,2.637184583,9,34,250.1,3,44.71666667,1,1,0,0,0,815,6,60.95419934,5.638822225,6.401753873,18.69286116,56,53.1652,6,2,8.962776147,332,0
2,"InChI=1S/C8H10F5NS/c1-14(2)7-4-3-5-8(6-7)15(9,10,11,12)13/h3-6H,1-2H3",,"InChI=1S/C14H21BF5NO2S/c1-13(2)14(3,4)23-15(22-13)12-10(21(5)6)8-7-9-11(12)24(16,17,18,19)20/h7-9H,1-6H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.014376,-0.005871,-0.062071,0.047695,-0.107561,-0.294985,0.187424,-0.26049,0.2425,0.006579,-0.131703,0.138282,0.100138,-0.048948,0.149086,1,80,9,9,0,6,6,1,3.529895989,1.359456,2.637184583,9,37,250.1,4,44.71666667,1,1,0,0,0,815,6,60.95419934,5.638822225,6.401753873,18.69286116,56,53.1652,6,2,8.891741983,332,0
3,"InChI=1S/C8H10F5NS/c1-14(2)7-4-3-5-8(6-7)15(9,10,11,12)13/h3-6H,1-2H3",,"InChI=1S/C14H21BF5NO2S/c1-13(2)14(3,4)23-15(22-13)10-21(5)11-7-6-8-12(9-11)24(16,17,18,19)20/h6-9H,10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.102317,0.196578,-0.033107,0.05112,0.149046,0.054932,0.06016,-0.35293,0.20223,0.171282,-0.134113,0.108195,0.151835,-0.289806,0.142832,1,80,9,9,0,6,6,1,1.246810804,1.116290667,2.637184583,9,59,250.1,6,44.71666667,1,1,0,0,0,815,6,60.95419934,5.638822225,6.401753873,18.69286116,56,53.1652,6,2,7.899840614,332,0
4,"InChI=1S/C8H10F5NS/c1-14(2)7-4-3-5-8(6-7)15(9,10,11,12)13/h3-6H,1-2H3",,"InChI=1S/C14H21BF5NO2S/c1-13(2)14(3,4)23-15(22-13)11-8-7-10(9-12(11)21(5)6)24(16,17,18,19)20/h7-9H,1-6H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.012668,-0.001438,-0.058252,0.045585,-0.116413,-0.252956,0.136543,-0.24349,0.2144,-0.024671,-0.136867,0.112197,0.46586,0.343267,0.122594,1,80,9,9,0,6,6,1,2.755134032,1.359456,2.637184583,9,40,250.1,5,44.71666667,1,1,0,0,0,815,6,60.95419934,5.638822225,6.401753873,18.69286116,56,53.1652,6,2,8.771105618,332,0
5,"InChI=1S/C13H14N2O/c16-13(15-7-3-4-8-15)12-9-10-5-1-2-6-11(10)14-12/h1-2,5-6,9,14H,3-4,7-8H2",,"InChI=1S/C19H27BN2O3/c1-18(2)19(3,4)25-20(24-18)14-9-10-22(12-14)17(23)16-11-13-7-5-6-8-15(13)21-16/h5-8,14,16,21H,9-12H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.083178,0.162976,0.000544,0.038758,0.148032,0.192607,-0.017031,-0.17329,0.188,0.159956,-0.041955,0.093786,0.218205,-0.103166,0.159135,10,100,7,8,1,9,10,2,2.522739464,1.359456,1.41090659,2,57,51.53,7,48.44285714,1,2,1,1,1,1229,6,71.81344506,6.760430665,5.484154687,25.02579902,50,63.4348,14,1,8.420079794,433,0
6,"InChI=1S/C13H14N2O/c16-13(15-7-3-4-8-15)12-9-10-5-1-2-6-11(10)14-12/h1-2,5-6,9,14H,3-4,7-8H2",,"InChI=1S/C19H27BN2O3/c1-18(2)19(3,4)25-20(24-18)16-10-7-11-22(16)17(23)15-12-13-8-5-6-9-14(13)21-15/h5-6,8-9,15-16,21H,7,10-12H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.028416,0.037393,-0.054439,0.039696,0.035616,0.039044,0.005675,-0.38948,0.19952,0.029093,-0.153998,0.089604,-0.210002,-0.533552,0.161153,10,100,7,8,1,9,10,2,2.342341793,1.116290667,1.41090659,2,58,51.53,7,48.44285714,1,2,1,1,1,1229,6,71.81344506,6.760430665,5.484154687,25.02579902,50,63.4348,14,1,8.036822932,433,0
7,"InChI=1S/C13H14N2O/c16-13(15-7-3-4-8-15)12-9-10-5-1-2-6-11(10)14-12/h1-2,5-6,9,14H,3-4,7-8H2",,"InChI=1S/C19H27BN2O3/c1-18(2)19(3,4)25-20(24-18)14-8-7-9-15-13(14)12-16(21-15)17(23)22-10-5-6-11-22/h7-9,16,21H,5-6,10-12H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.004058,-0.000243,-0.050348,0.04629,-0.140495,-0.275641,0.135146,-0.18206,0.20584,-0.003914,-0.108402,0.104488,-0.384429,-0.497746,0.113317,10,100,7,8,1,9,10,2,2.509402663,1.359456,1.41090659,2,57,51.53,7,48.44285714,1,2,1,1,1,1229,6,71.81344506,6.760430665,5.484154687,25.02579902,50,63.4348,14,1,8.407472021,433,0
8,"InChI=1S/C13H14N2O/c16-13(15-7-3-4-8-15)12-9-10-5-1-2-6-11(10)14-12/h1-2,5-6,9,14H,3-4,7-8H2",,"InChI=1S/C19H27BN2O3/c1-18(2)19(3,4)25-20(24-18)14-7-8-15-13(11-14)12-16(21-15)17(23)22-9-5-6-10-22/h7-8,11,16,21H,5-6,9-10,12H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.020055,-0.019674,-0.062842,0.042787,0.0173,-0.063184,0.080484,-0.22883,0.20507,-0.01807,-0.121466,0.103396,-0.01501,-0.137111,0.122101,10,100,7,8,1,9,10,2,2.374117425,1.359456,1.41090659,2,67,51.53,8,48.44285714,1,2,1,1,1,1229,6,71.81344506,6.760430665,5.484154687,25.02579902,50,63.4348,14,1,8.318611009,433,0
9,"InChI=1S/C13H14N2O/c16-13(15-7-3-4-8-15)12-9-10-5-1-2-6-11(10)14-12/h1-2,5-6,9,14H,3-4,7-8H2",,"InChI=1S/C19H27BN2O3/c1-18(2)19(3,4)25-20(24-18)14-8-7-13-11-16(21-15(13)12-14)17(23)22-9-5-6-10-22/h7-8,12,16,21H,5-6,9-11H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.00771,-0.007105,-0.052862,0.045152,-0.011966,-0.109101,0.097135,-0.20022,0.20517,-0.001525,-0.107443,0.105919,-0.09095,-0.21511,0.124159,10,100,7,8,1,9,10,2,2.326754207,1.116290667,1.41090659,2,69,51.53,8,48.44285714,1,2,1,1,1,1229,6,71.81344506,6.760430665,5.484154687,25.02579902,50,63.4348,14,1,7.627833899,433,0
10,"InChI=1S/C13H14N2O/c16-13(15-7-3-4-8-15)12-9-10-5-1-2-6-11(10)14-12/h1-2,5-6,9,14H,3-4,7-8H2",,"InChI=1S/C19H27BN2O3/c1-18(2)19(3,4)25-20(24-18)14-9-7-8-13-12-15(21-16(13)14)17(23)22-10-5-6-11-22/h7-9,15,21H,5-6,10-12H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.013831,-0.005099,-0.06164,0.047808,-0.1125,-0.251909,0.139409,-0.23392,0.21066,-0.020964,-0.128378,0.107414,-0.661795,-0.773033,0.111239,10,100,7,8,1,9,10,2,2.342341793,1.116290667,1.41090659,2,58,51.53,7,48.44285714,1,2,1,1,1,1229,6,71.81344506,6.760430665,5.484154687,25.02579902,50,63.4348,14,1,8.036822932,433,1
11,"InChI=1S/C13H14N2O/c16-13(15-7-3-4-8-15)12-9-10-5-1-2-6-11(10)14-12/h1-2,5-6,9,14H,3-4,7-8H2",,"InChI=1S/C19H27BN2O3/c1-18(2)19(3,4)25-20(24-18)15-13-9-5-6-10-14(13)21-16(15)17(23)22-11-7-8-12-22/h5-6,9-10,15-16,21H,7-8,11-12H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.004058,-0.000243,-0.050348,0.04629,-0.140495,-0.275641,0.135146,-0.18206,0.20584,-0.003914,-0.108402,0.104488,-0.384429,-0.497746,0.113317,10,100,7,8,1,9,10,2,3.602898,2.16,1.41090659,2,47,51.53,6,48.44285714,1,2,1,1,1,1229,6,71.81344506,6.760430665,5.484154687,25.02579902,50,63.4348,14,1,8.565722104,433,0
12,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)16-15-12(10-14(22-16)17(23)24-5)11-8-6-7-9-13(11)21-15/h6-9,14,16,21-22H,10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.06617,0.155211,-0.007554,0.027888,0.444196,0.579872,-0.087531,-0.19596,0.17542,0.149006,-0.032795,0.077051,0.000202,-0.294812,0.145276,6,60,8,9,1,9,10,2,3.760152671,2.16,1.410953411,4,46,45.51,6,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.515951608,493,0
13,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)13-8-6-7-11-12-9-14(17(23)24-5)21-10-15(12)22-16(11)13/h6-8,14,21-22H,9-10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.024703,-0.016045,-0.067812,0.043109,-0.143648,-0.276484,0.132836,-0.23779,0.20578,-0.031131,-0.131319,0.100188,-0.584945,-0.688363,0.103418,6,60,8,9,1,9,10,2,2.722359357,1.116290667,1.410953411,4,45,45.51,5,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,7.975215052,493,1
14,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)11-6-7-12-13-9-15(17(23)24-5)21-10-16(13)22-14(12)8-11/h6-8,15,21-22H,9-10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.018263,-0.017704,-0.060555,0.042292,0.013871,-0.071949,0.085821,-0.21234,0.20361,-0.012233,-0.114946,0.102713,-0.074616,-0.194549,0.119934,6,60,8,9,1,9,10,2,2.571973158,1.359456,1.410953411,4,57,45.51,7,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.424137754,493,0
15,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)11-6-7-14-12(8-11)13-9-15(17(23)24-5)21-10-16(13)22-14/h6-8,15,21-22H,9-10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.024515,-0.024137,-0.06551,0.040995,-0.053256,-0.147208,0.093952,-0.2271,0.20347,-0.02082,-0.121925,0.101106,-0.233528,-0.35231,0.118782,6,60,8,9,1,9,10,2,2.380868345,1.359456,1.410953411,4,74,45.51,9,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.317348634,493,0
16,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)12-7-6-8-13-16(12)11-9-14(17(23)24-5)21-10-15(11)22-13/h6-8,14,21-22H,9-10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,-0.01038,-0.006197,-0.054655,0.044274,-0.050384,-0.170437,0.120053,-0.1909,0.20568,-0.014048,-0.116608,0.10256,-0.337709,-0.452435,0.114726,6,60,8,9,1,9,10,2,2.523234622,1.359456,1.410953411,4,63,45.51,8,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.385117983,493,0
17,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)15-14-11-8-6-7-9-12(11)22-13(14)10-21-16(15)17(23)24-5/h6-9,15-16,21-22H,10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.018102,0.043493,-0.059487,0.03837,0.174097,0.242864,-0.026943,-0.38939,0.21382,0.058882,-0.144188,0.100495,-0.67804,-1.022778,0.179443,6,60,8,9,1,9,10,2,2.426349481,1.116290667,1.410953411,4,51,45.51,5,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.301399201,493,0
18,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)11-24-17(23)15-9-13-12-7-5-6-8-14(12)22-16(13)10-21-15/h5-8,15,21-22H,9-11H2,1-4H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.147879,0.209365,-0.006795,0.053887,0.246669,0.07935,0.067778,-0.21604,0.18825,0.279975,-0.082549,0.121105,0.313873,-0.164919,0.154792,6,60,8,9,1,9,10,2,2.398546484,1.359456,1.410953411,4,68,45.51,8,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.29114015,493,0
19,"InChI=1S/C13H14N2O2/c1-17-13(16)11-6-9-8-4-2-3-5-10(8)15-12(9)7-14-11/h2-5,11,14-15H,6-7H2,1H3",,"InChI=1S/C19H25BN2O4/c1-18(2)19(3,4)26-20(25-18)16-15-12(10-14(22-16)17(23)24-5)11-8-6-7-9-13(11)21-15/h6-9,14,16,21-22H,10H2,1-5H3",2,2,6,2,31.3,1.007407269,10.0750729,972.4636489,1848.059175,9.796551091,4.45505795,9.176850355,7.039665579,4.368734745,7.203240956,0.06617,0.155211,-0.007554,0.027888,0.444196,0.579872,-0.087531,-0.19596,0.17542,0.149006,-0.032795,0.077051,0.000202,-0.294812,0.145276,6,60,8,9,1,9,10,2,3.760152671,2.16,1.410953411,4,46,45.51,6,53.87063492,2,3,1,2,2,1398,6,73.45983423,7.082527749,6.31802272,26.30305227,54,64.1786,13,2,8.515951608,493,0
