Substrate,,Product,Boronic Ester,Active Catalyst-Ligand,Catalyst,Ligand,Hirshfeld Heavy Atom Charge,CM5 Charge,Hirshfeld Carbon Charge,Hirshfeld Hydrogen Charge,ESP Heavy Atom Charge,ESP Carbon Charge,ESP Hydrogen Charge,NPA Carbon Charge,NPA Hydrogen Charge,MBS Heavy Atom Charge,MBS Carbon Charge,MBS Hydrogen Charge,Mulliken Heavy Charge,Mulliken Carbon Charge,Mulliken Hydrogen Charge,Solvent,Temp,Aliphatic Atom Count,Aliphatic Bond Count,Aliphatic Ring Count,Aromatic Atom Count,Aromatic Bond Count,Aromatic Ring Count,Steric Effect Index,Atomic_Polarizability,Balaban Index,Chain Atom Count,Distance Degree,Dreiding Energy,Eccentricity,Harary Index,Hydrogen Acceptor Count,Hydrogen Acceptor Site Count,Heteroatom Aromatic Ring Count,Hydrogen Donor Count,Hydrogen Donor Site Count,Hyper Wiener Index,Largest Ring Size,Max Projection Area,Max Projection Radius,MaxZ,Moleculare Polarizability,Platt Index,Refractivity,Ring Atom Count,Rot Bond Count,Sigma Electronegativity,Wiener Index,Product_Ratio
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)27-22-28-47-25-20-16-14-18-23(25)30-32-31(29-24-19-15-17-21-26(24)49(34(29)33(30)47)44(11,54-28)35(27)53-13)36(45-57-42(7,8)43(9,10)58-45)48(37(32)50)39(52)56-41(4,5)6/h14-21,27-28,35-36H,22H2,1-13H3/t27-,28-,35-,36?,44+/m1/s1",2,4,9,7,0.117917,0.21038,0.007816,0.054781,0.376301,0.452729,-0.028961,-0.20337,0.21721,0.214135,-0.034188,0.123722,-0.031176,-0.435304,0.199893,1,100,29,32,3,20,24,5,3.981880778,2.16,1.211231719,20,252,274.85,10,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.677523903,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)28-21-29-48-26-19-15-14-17-23(26)30-32-24(22-47(37(32)50)39(52)56-41(4,5)6)31-33-25(45-57-42(7,8)43(9,10)58-45)18-16-20-27(33)49(35(31)34(30)48)44(11,54-29)36(28)53-13/h14-20,28-29,36H,21-22H2,1-13H3/t28-,29-,36-,44+/m1/s1",2,4,9,7,-0.004921,-0.00002,-0.049452,0.044531,-0.054334,-0.159618,0.105284,-0.2384,0.20183,-0.009228,-0.110739,0.101512,-0.088164,-0.212061,0.123898,1,100,29,32,3,20,24,5,2.676405057,1.359456,1.211231719,20,290,274.85,10,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.434374632,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)29-21-30-48-27-17-15-14-16-24(27)32-33-26(22-47(37(33)50)39(52)56-41(4,5)6)31-25-20-23(45-57-42(7,8)43(9,10)58-45)18-19-28(25)49(35(31)34(32)48)44(11,54-30)36(29)53-13/h14-20,29-30,36H,21-22H2,1-13H3/t29-,30-,36-,44+/m1/s1",2,4,9,7,-0.020588,-0.020434,-0.062865,0.042277,-0.036463,-0.122021,0.085558,-0.23097,0.20537,-0.020492,-0.123328,0.102837,-0.371709,-0.49173,0.120021,1,100,29,32,3,20,24,5,2.467201656,1.359456,1.211231719,20,333,274.85,11,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.360537087,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)29-21-30-48-27-17-15-14-16-24(27)32-33-26(22-47(37(33)50)39(52)56-41(4,5)6)31-25-19-18-23(45-57-42(7,8)43(9,10)58-45)20-28(25)49(35(31)34(32)48)44(11,54-30)36(29)53-13/h14-20,29-30,36H,21-22H2,1-13H3/t29-,30-,36-,44+/m1/s1",2,4,9,7,-0.007533,-0.007553,-0.050642,0.043109,-0.000999,-0.082035,0.081035,-0.20009,0.20269,-0.006931,-0.107626,0.100694,-0.259957,-0.370733,0.110776,1,100,29,32,3,20,24,5,2.689119632,1.359456,1.211231719,20,295,274.85,11,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.497751593,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)28-21-29-48-27-20-15-14-17-23(27)31-32-25(22-47(37(32)50)39(52)56-41(4,5)6)30-24-18-16-19-26(45-57-42(7,8)43(9,10)58-45)33(24)49(35(30)34(31)48)44(11,54-29)36(28)53-13/h14-20,28-29,36H,21-22H2,1-13H3/t28-,29-,36-,44+/m1/s1",2,4,9,7,-0.014116,-0.000511,-0.054577,0.040461,-0.134407,-0.181078,0.046671,-0.29624,0.20932,-0.014361,-0.121115,0.106753,-0.028896,-0.141636,0.11274,1,100,29,32,3,20,24,5,2.850619633,1.116290667,1.211231719,20,254,274.85,11,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.068388528,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)29-21-30-48-27-19-15-13-17-24(27)32-33-26(22-47(37(33)50)39(52)56-41(4,5)6)31-25-18-14-16-20-28(25)49(35(31)34(32)48)44(11,54-30)36(29)53-23-45-57-42(7,8)43(9,10)58-45/h13-20,29-30,36H,21-23H2,1-12H3/t29-,30-,36-,44+/m1/s1",2,4,9,7,0.067275,0.135597,-0.035322,0.045833,0.047903,-0.242034,0.11661,-0.21216,0.1845,0.19863,-0.108088,0.137621,0.297775,-0.204923,0.177201,1,100,29,32,3,20,24,5,2.469518898,1.359456,1.211231719,20,338,274.85,12,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.31409522,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46-22-26-31-25-18-14-16-20-28(25)49-35(31)34-32(33(26)37(46)50)24-17-13-15-19-27(24)48(34)30-21-29(36(53-12)44(49,11)54-30)47(39(52)56-41(4,5)6)23-45-57-42(7,8)43(9,10)58-45/h13-20,29-30,36H,21-23H2,1-12H3/t29-,30-,36-,44+/m1/s1",2,4,9,7,0.088709,0.190591,-0.042946,0.031138,0.122474,-0.02718,0.033002,-0.35799,0.18204,0.168756,-0.140476,0.086443,0.34032,-0.185398,0.164536,1,100,29,32,3,20,24,5,0.97055943,1.116290667,1.211231719,20,341,274.85,13,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.315319695,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)34-31(45-57-42(7,8)43(9,10)58-45)37-48-26-20-16-14-18-23(26)29-30-25(22-47(36(30)50)39(52)56-41(4,5)6)28-24-19-15-17-21-27(24)49(33(28)32(29)48)44(11,54-37)35(34)53-13/h14-21,31,34-35,37H,22H2,1-13H3/t31?,34-,35-,37-,44+/m1/s1",2,4,9,7,0.030238,0.057053,-0.062242,0.047254,-0.364872,-0.541177,0.115372,-0.41272,0.22935,0.038387,-0.163714,0.10806,-0.078683,-0.430143,0.179357,1,100,29,32,3,20,24,5,2.738539329,1.116290667,1.211231719,20,268,274.85,12,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.376806942,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-39(2,3)54-37(51)46(12)29-22-44(45-57-41(7,8)42(9,10)58-45)49-28-21-17-15-19-25(28)31-32-26(23-47(36(32)50)38(52)55-40(4,5)6)30-24-18-14-16-20-27(24)48(33(30)34(31)49)43(11,56-44)35(29)53-13/h14-21,29,35H,22-23H2,1-13H3/t29-,35-,43+,44+/m1/s1",2,4,9,7,0.168847,0.274374,0.114816,0.054032,0.854105,0.897741,-0.043636,0.3414,0.20093,0.365476,0.235923,0.129553,0.427449,0.254365,0.173084,1,100,29,32,3,20,24,5,4.196908331,2.16,1.211231719,20,227,274.85,10,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.813298215,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)28-21-29-48-33-24(18-16-19-26(33)45-57-42(7,8)43(9,10)58-45)31-32-25(22-47(37(32)50)39(52)56-41(4,5)6)30-23-17-14-15-20-27(23)49(35(30)34(31)48)44(11,54-29)36(28)53-13/h14-20,28-29,36H,21-22H2,1-13H3/t28-,29-,36-,44+/m1/s1",2,4,9,7,-0.036351,-0.027232,-0.075281,0.03893,-0.140839,-0.248505,0.107666,-0.30501,0.2023,-0.054065,-0.149377,0.095312,-0.07375,-0.182004,0.108254,1,100,29,32,3,20,24,5,2.692074564,1.359456,1.211231719,20,285,274.85,10,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.455031472,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)29-21-30-48-28-20-23(45-57-42(7,8)43(9,10)58-45)18-19-25(28)32-33-26(22-47(37(33)50)39(52)56-41(4,5)6)31-24-16-14-15-17-27(24)49(35(31)34(32)48)44(11,54-30)36(29)53-13/h14-20,29-30,36H,21-22H2,1-13H3/t29-,30-,36-,44+/m1/s1",2,4,9,7,-0.009194,-0.008683,-0.05298,0.043786,0.022396,-0.060182,0.082578,-0.19257,0.20304,0.000346,-0.103531,0.103878,-0.326416,-0.448078,0.121662,1,100,29,32,3,20,24,5,2.474845914,1.359456,1.211231719,20,328,274.85,11,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.340030782,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)29-21-30-48-27-19-18-23(45-57-42(7,8)43(9,10)58-45)20-25(27)32-33-26(22-47(37(33)50)39(52)56-41(4,5)6)31-24-16-14-15-17-28(24)49(35(31)34(32)48)44(11,54-30)36(29)53-13/h14-20,29-30,36H,21-22H2,1-13H3/t29-,30-,36-,44+/m1/s1",2,4,9,7,-0.017866,-0.017333,-0.061756,0.04389,-0.034749,-0.125095,0.090346,-0.25755,0.20515,-0.018455,-0.123703,0.105248,-0.373032,-0.494722,0.12169,1,100,29,32,3,20,24,5,2.47304749,1.359456,1.211231719,20,333,274.85,12,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.334216216,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(12)28-21-29-48-27-20-16-18-25(45-57-42(7,8)43(9,10)58-45)32(27)33-31-24(22-47(37(31)50)39(52)56-41(4,5)6)30-23-17-14-15-19-26(23)49(35(30)34(33)48)44(11,54-29)36(28)53-13/h14-20,28-29,36H,21-22H2,1-13H3/t28-,29-,36-,44+/m1/s1",2,4,9,7,0.005899,0.017184,-0.037937,0.043836,-0.016498,-0.165243,0.148745,-0.10712,0.24767,0.045317,-0.104529,0.149847,-0.108961,-0.296454,0.187493,1,100,29,32,3,20,24,5,2.695336632,1.359456,1.211231719,20,290,274.85,11,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,8.469863294,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-38(51)46(11)29-21-30-48-27-19-15-13-17-24(27)32-33-26(22-47(37(33)50)39(52)56-41(4,5)23-45-57-42(6,7)43(8,9)58-45)31-25-18-14-16-20-28(25)49(35(31)34(32)48)44(10,54-30)36(29)53-12/h13-20,29-30,36H,21-23H2,1-12H3/t29-,30-,36-,44+/m1/s1",2,4,9,7,0.020706,0.038321,-0.099586,0.041112,-0.108636,-0.278531,0.058329,-0.56714,0.20014,0.029326,-0.266951,0.095868,-0.032896,-0.488459,0.146381,1,100,29,32,3,20,24,5,1.710072418,1.116290667,1.211231719,20,275,274.85,11,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,7.838478185,7505,
"InChI=1S/C38H42N4O7/c1-36(2,3)48-34(44)39(8)25-18-26-41-23-16-12-10-14-20(23)28-29-22(19-40(33(29)43)35(45)49-37(4,5)6)27-21-15-11-13-17-24(21)42(31(27)30(28)41)38(7,47-26)32(25)46-9/h10-17,25-26,32H,18-19H2,1-9H3/t25-,26-,32-,38+/m1/s1",,"InChI=1S/C44H53BN4O9/c1-40(2,3)55-39(52)47-22-26-31-25-18-14-16-20-28(25)49-35(31)34-32(33(26)37(47)50)24-17-13-15-19-27(24)48(34)30-21-29(36(53-12)44(49,10)54-30)46(11)38(51)56-41(4,5)23-45-57-42(6,7)43(8,9)58-45/h13-20,29-30,36H,21-23H2,1-12H3/t29-,30-,36-,44+/m1/s1",2,4,9,7,0.016615,0.033929,-0.101616,0.046091,-0.138204,-0.326037,0.075383,-0.56697,0.21069,0.020414,-0.26877,0.104538,0.10174,-0.342648,0.161452,1,100,29,32,3,20,24,5,1.445374063,1.116290667,1.211231719,20,448,274.85,17,277.6495722,5,10,2,0,0,34483,7,183.9470105,10.3749488,9.01380582,75.43454146,202,182.3623,29,6,7.655035605,7505,
