Substrate,type
"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",indole
"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",ED aromatic
"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",ED aromatic
"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",ED aromatic
"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",ED aromatic
"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",ED aromatic
"InChI=1S/C8H10ClN/c1-10(2)8-5-3-4-7(9)6-8/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10ClN/c1-10(2)8-5-3-4-7(9)6-8/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10ClN/c1-10(2)8-5-3-4-7(9)6-8/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10ClN/c1-10(2)8-5-3-4-7(9)6-8/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10ClN/c1-10(2)8-5-3-4-7(9)6-8/h3-6H,1-2H3",ED aromatic
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C11H22O2/c1-5-6-7-11(4)12-8-10(2,3)9-13-11/h5-9H2,1-4H3",aliphatic- oxygen
"InChI=1S/C13H27NO2/c1-6-8-10-14(11-9-7-2)12(15)16-13(3,4)5/h6-11H2,1-5H3",aliphatic- nitrogen
"InChI=1S/C13H27NO2/c1-6-8-10-14(11-9-7-2)12(15)16-13(3,4)5/h6-11H2,1-5H3",aliphatic- nitrogen
"InChI=1S/C13H27NO2/c1-6-8-10-14(11-9-7-2)12(15)16-13(3,4)5/h6-11H2,1-5H3",aliphatic- nitrogen
"InChI=1S/C13H27NO2/c1-6-8-10-14(11-9-7-2)12(15)16-13(3,4)5/h6-11H2,1-5H3",aliphatic- nitrogen
"InChI=1S/C13H27NO2/c1-6-8-10-14(11-9-7-2)12(15)16-13(3,4)5/h6-11H2,1-5H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C10H21N/c1-2-3-5-8-11-9-6-4-7-10-11/h2-10H2,1H3",aliphatic- nitrogen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C14H28O2/c1-4-5-6-7-8-9-10-13-15-11-14(2,3)12-16-13/h13H,4-12H2,1-3H3",aliphatic- oxygen
"InChI=1S/C5H10O2/c6-4-5-2-1-3-7-5/h5-6H,1-4H2",aliphatic- oxygen
"InChI=1S/C5H10O2/c6-4-5-2-1-3-7-5/h5-6H,1-4H2",aliphatic- oxygen
"InChI=1S/C5H10O2/c6-4-5-2-1-3-7-5/h5-6H,1-4H2",aliphatic- oxygen
"InChI=1S/C5H10O2/c6-4-5-2-1-3-7-5/h5-6H,1-4H2",aliphatic- oxygen
"InChI=1S/C10H16F3NO2/c1-9(2,3)16-8(15)14-6-4-5-7(14)10(11,12)13/h7H,4-6H2,1-3H3",aliphatic- nitrogen
"InChI=1S/C10H16F3NO2/c1-9(2,3)16-8(15)14-6-4-5-7(14)10(11,12)13/h7H,4-6H2,1-3H3",aliphatic- nitrogen
"InChI=1S/C10H16F3NO2/c1-9(2,3)16-8(15)14-6-4-5-7(14)10(11,12)13/h7H,4-6H2,1-3H3",aliphatic- nitrogen
"InChI=1S/C10H16F3NO2/c1-9(2,3)16-8(15)14-6-4-5-7(14)10(11,12)13/h7H,4-6H2,1-3H3",aliphatic- nitrogen
"InChI=1S/C10H16F3NO2/c1-9(2,3)16-8(15)14-6-4-5-7(14)10(11,12)13/h7H,4-6H2,1-3H3",aliphatic- nitrogen
"InChI=1S/C12H14Si/c1-13(2)12-9-5-7-10-6-3-4-8-11(10)12/h3-9,13H,1-2H3",ER aromatic
"InChI=1S/C12H14Si/c1-13(2)12-9-5-7-10-6-3-4-8-11(10)12/h3-9,13H,1-2H3",ER aromatic
"InChI=1S/C12H14Si/c1-13(2)12-9-5-7-10-6-3-4-8-11(10)12/h3-9,13H,1-2H3",ER aromatic
"InChI=1S/C12H14Si/c1-13(2)12-9-5-7-10-6-3-4-8-11(10)12/h3-9,13H,1-2H3",ER aromatic
"InChI=1S/C12H14Si/c1-13(2)12-9-5-7-10-6-3-4-8-11(10)12/h3-9,13H,1-2H3",ER aromatic
"InChI=1S/C12H14Si/c1-13(2)12-9-5-7-10-6-3-4-8-11(10)12/h3-9,13H,1-2H3",ER aromatic
"InChI=1S/C12H14Si/c1-13(2)12-9-5-7-10-6-3-4-8-11(10)12/h3-9,13H,1-2H3",ER aromatic
"InChI=1S/C12H14Si/c1-13(2)12-9-5-7-10-6-3-4-8-11(10)12/h3-9,13H,1-2H3",ER aromatic
"InChI=1S/C12H13FSi/c1-14(2)12-8-7-11(13)9-5-3-4-6-10(9)12/h3-8,14H,1-2H3",ER aromatic
"InChI=1S/C12H13FSi/c1-14(2)12-8-7-11(13)9-5-3-4-6-10(9)12/h3-8,14H,1-2H3",ER aromatic
"InChI=1S/C12H13FSi/c1-14(2)12-8-7-11(13)9-5-3-4-6-10(9)12/h3-8,14H,1-2H3",ER aromatic
"InChI=1S/C12H13FSi/c1-14(2)12-8-7-11(13)9-5-3-4-6-10(9)12/h3-8,14H,1-2H3",ER aromatic
"InChI=1S/C12H13FSi/c1-14(2)12-8-7-11(13)9-5-3-4-6-10(9)12/h3-8,14H,1-2H3",ER aromatic
"InChI=1S/C12H13FSi/c1-14(2)12-8-7-11(13)9-5-3-4-6-10(9)12/h3-8,14H,1-2H3",ER aromatic
"InChI=1S/C12H13FSi/c1-14(2)12-8-7-11(13)9-5-3-4-6-10(9)12/h3-8,14H,1-2H3",ER aromatic
"InChI=1S/C13H16Si/c1-10-8-9-13(14(2)3)12-7-5-4-6-11(10)12/h4-9,14H,1-3H3",ER aromatic
"InChI=1S/C13H16Si/c1-10-8-9-13(14(2)3)12-7-5-4-6-11(10)12/h4-9,14H,1-3H3",ER aromatic
"InChI=1S/C13H16Si/c1-10-8-9-13(14(2)3)12-7-5-4-6-11(10)12/h4-9,14H,1-3H3",ER aromatic
"InChI=1S/C13H16Si/c1-10-8-9-13(14(2)3)12-7-5-4-6-11(10)12/h4-9,14H,1-3H3",ER aromatic
"InChI=1S/C13H16Si/c1-10-8-9-13(14(2)3)12-7-5-4-6-11(10)12/h4-9,14H,1-3H3",ER aromatic
"InChI=1S/C13H16Si/c1-10-8-9-13(14(2)3)12-7-5-4-6-11(10)12/h4-9,14H,1-3H3",ER aromatic
"InChI=1S/C13H16Si/c1-10-8-9-13(14(2)3)12-7-5-4-6-11(10)12/h4-9,14H,1-3H3",ER aromatic
"InChI=1S/C13H16Si/c1-10-8-9-13(14(2)3)12-7-5-4-6-11(10)12/h4-9,14H,1-3H3",ER aromatic
"InChI=1S/C13H16O3SSi/c1-17(14,15)16-12-8-9-13(18(2)3)11-7-5-4-6-10(11)12/h4-9,18H,1-3H3",ER aromatic
"InChI=1S/C13H16O3SSi/c1-17(14,15)16-12-8-9-13(18(2)3)11-7-5-4-6-10(11)12/h4-9,18H,1-3H3",ER aromatic
"InChI=1S/C13H16O3SSi/c1-17(14,15)16-12-8-9-13(18(2)3)11-7-5-4-6-10(11)12/h4-9,18H,1-3H3",ER aromatic
"InChI=1S/C13H16O3SSi/c1-17(14,15)16-12-8-9-13(18(2)3)11-7-5-4-6-10(11)12/h4-9,18H,1-3H3",ER aromatic
"InChI=1S/C13H16O3SSi/c1-17(14,15)16-12-8-9-13(18(2)3)11-7-5-4-6-10(11)12/h4-9,18H,1-3H3",ER aromatic
"InChI=1S/C13H16O3SSi/c1-17(14,15)16-12-8-9-13(18(2)3)11-7-5-4-6-10(11)12/h4-9,18H,1-3H3",ER aromatic
"InChI=1S/C13H16O3SSi/c1-17(14,15)16-12-8-9-13(18(2)3)11-7-5-4-6-10(11)12/h4-9,18H,1-3H3",ER aromatic
"InChI=1S/C13H16O3SSi/c1-17(14,15)16-12-8-9-13(18(2)3)11-7-5-4-6-10(11)12/h4-9,18H,1-3H3",ER aromatic
"InChI=1S/C14H18O2Si/c1-15-10-16-13-8-9-14(17(2)3)12-7-5-4-6-11(12)13/h4-9,17H,10H2,1-3H3",ER aromatic
"InChI=1S/C14H18O2Si/c1-15-10-16-13-8-9-14(17(2)3)12-7-5-4-6-11(12)13/h4-9,17H,10H2,1-3H3",ER aromatic
"InChI=1S/C14H18O2Si/c1-15-10-16-13-8-9-14(17(2)3)12-7-5-4-6-11(12)13/h4-9,17H,10H2,1-3H3",ER aromatic
"InChI=1S/C14H18O2Si/c1-15-10-16-13-8-9-14(17(2)3)12-7-5-4-6-11(12)13/h4-9,17H,10H2,1-3H3",ER aromatic
"InChI=1S/C14H18O2Si/c1-15-10-16-13-8-9-14(17(2)3)12-7-5-4-6-11(12)13/h4-9,17H,10H2,1-3H3",ER aromatic
"InChI=1S/C14H18O2Si/c1-15-10-16-13-8-9-14(17(2)3)12-7-5-4-6-11(12)13/h4-9,17H,10H2,1-3H3",ER aromatic
"InChI=1S/C14H18O2Si/c1-15-10-16-13-8-9-14(17(2)3)12-7-5-4-6-11(12)13/h4-9,17H,10H2,1-3H3",ER aromatic
"InChI=1S/C14H18O2Si/c1-15-10-16-13-8-9-14(17(2)3)12-7-5-4-6-11(12)13/h4-9,17H,10H2,1-3H3",ER aromatic
"InChI=1S/C14H18O2Si/c1-15-10-16-13-8-9-14(17(2)3)12-7-5-4-6-11(12)13/h4-9,17H,10H2,1-3H3",ER aromatic
"InChI=1S/C12H13BrSi/c1-14(2)12-8-4-5-9-10(12)6-3-7-11(9)13/h3-8,14H,1-2H3",ED aromatic
"InChI=1S/C12H13BrSi/c1-14(2)12-8-4-5-9-10(12)6-3-7-11(9)13/h3-8,14H,1-2H3",ED aromatic
"InChI=1S/C12H13BrSi/c1-14(2)12-8-4-5-9-10(12)6-3-7-11(9)13/h3-8,14H,1-2H3",ED aromatic
"InChI=1S/C12H13BrSi/c1-14(2)12-8-4-5-9-10(12)6-3-7-11(9)13/h3-8,14H,1-2H3",ED aromatic
"InChI=1S/C12H13BrSi/c1-14(2)12-8-4-5-9-10(12)6-3-7-11(9)13/h3-8,14H,1-2H3",ED aromatic
"InChI=1S/C12H13BrSi/c1-14(2)12-8-4-5-9-10(12)6-3-7-11(9)13/h3-8,14H,1-2H3",ED aromatic
"InChI=1S/C12H13BrSi/c1-14(2)12-8-4-5-9-10(12)6-3-7-11(9)13/h3-8,14H,1-2H3",ED aromatic
"InChI=1S/C14H19NSi/c1-15(2)13-9-5-8-12-11(13)7-6-10-14(12)16(3)4/h5-10,16H,1-4H3",ER aromatic
"InChI=1S/C14H19NSi/c1-15(2)13-9-5-8-12-11(13)7-6-10-14(12)16(3)4/h5-10,16H,1-4H3",ER aromatic
"InChI=1S/C14H19NSi/c1-15(2)13-9-5-8-12-11(13)7-6-10-14(12)16(3)4/h5-10,16H,1-4H3",ER aromatic
"InChI=1S/C14H19NSi/c1-15(2)13-9-5-8-12-11(13)7-6-10-14(12)16(3)4/h5-10,16H,1-4H3",ER aromatic
"InChI=1S/C14H19NSi/c1-15(2)13-9-5-8-12-11(13)7-6-10-14(12)16(3)4/h5-10,16H,1-4H3",ER aromatic
"InChI=1S/C14H19NSi/c1-15(2)13-9-5-8-12-11(13)7-6-10-14(12)16(3)4/h5-10,16H,1-4H3",ER aromatic
"InChI=1S/C14H19NSi/c1-15(2)13-9-5-8-12-11(13)7-6-10-14(12)16(3)4/h5-10,16H,1-4H3",ER aromatic
"InChI=1S/C14H19NSi/c1-15(2)13-9-5-8-12-11(13)7-6-10-14(12)16(3)4/h5-10,16H,1-4H3",ER aromatic
"InChI=1S/C8H7NO/c1-6-9-7-4-2-3-5-8(7)10-6/h2-5H,1H3",benzooxazole
"InChI=1S/C8H7NO/c1-6-9-7-4-2-3-5-8(7)10-6/h2-5H,1H3",benzooxazole
"InChI=1S/C8H7NO/c1-6-9-7-4-2-3-5-8(7)10-6/h2-5H,1H3",benzooxazole
"InChI=1S/C8H7NO/c1-6-9-7-4-2-3-5-8(7)10-6/h2-5H,1H3",benzooxazole
"InChI=1S/C8H7NO/c1-6-9-7-4-2-3-5-8(7)10-6/h2-5H,1H3",benzooxazole
"InChI=1S/C9H9NO/c1-6-4-3-5-8-9(6)10-7(2)11-8/h3-5H,1-2H3",benzooxazole
"InChI=1S/C9H9NO/c1-6-4-3-5-8-9(6)10-7(2)11-8/h3-5H,1-2H3",benzooxazole
"InChI=1S/C9H9NO/c1-6-4-3-5-8-9(6)10-7(2)11-8/h3-5H,1-2H3",benzooxazole
"InChI=1S/C9H9NO/c1-6-4-3-5-8-9(6)10-7(2)11-8/h3-5H,1-2H3",benzooxazole
"InChI=1S/C9H9NO/c1-6-4-3-5-8-9(6)10-7(2)11-8/h3-5H,1-2H3",benzooxazole
"InChI=1S/C8H6BrNO/c1-5-10-7-4-6(9)2-3-8(7)11-5/h2-4H,1H3",benzooxazole
"InChI=1S/C8H6BrNO/c1-5-10-7-4-6(9)2-3-8(7)11-5/h2-4H,1H3",benzooxazole
"InChI=1S/C8H6BrNO/c1-5-10-7-4-6(9)2-3-8(7)11-5/h2-4H,1H3",benzooxazole
"InChI=1S/C8H6BrNO/c1-5-10-7-4-6(9)2-3-8(7)11-5/h2-4H,1H3",benzooxazole
"InChI=1S/C9H9NO2/c1-6-10-8-5-7(11-2)3-4-9(8)12-6/h3-5H,1-2H3",benzooxazole
"InChI=1S/C9H9NO2/c1-6-10-8-5-7(11-2)3-4-9(8)12-6/h3-5H,1-2H3",benzooxazole
"InChI=1S/C9H9NO2/c1-6-10-8-5-7(11-2)3-4-9(8)12-6/h3-5H,1-2H3",benzooxazole
"InChI=1S/C9H9NO2/c1-6-10-8-5-7(11-2)3-4-9(8)12-6/h3-5H,1-2H3",benzooxazole
"InChI=1S/C9H9NO2/c1-6-10-8-5-7(11-2)3-4-9(8)12-6/h3-5H,1-2H3",benzooxazole
InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H,pyridine and pyrimidine
InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H,pyridine and pyrimidine
InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H,pyridine and pyrimidine
"InChI=1S/C5H6N2/c1-5-6-3-2-4-7-5/h2-4H,1H3",pyridine and pyrimidine
"InChI=1S/C5H6N2/c1-5-6-3-2-4-7-5/h2-4H,1H3",pyridine and pyrimidine
"InChI=1S/C5H6N2/c1-5-6-3-2-4-7-5/h2-4H,1H3",pyridine and pyrimidine
InChI=1S/C5H3N3/c6-4-5-7-2-1-3-8-5/h1-3H,pyridine and pyrimidine
InChI=1S/C5H3N3/c6-4-5-7-2-1-3-8-5/h1-3H,pyridine and pyrimidine
"InChI=1S/C9H10N2/c1-6-4-3-5-8-9(6)11-7(2)10-8/h3-5H,1-2H3,(H,10,11)",benzoimidazole
"InChI=1S/C9H10N2/c1-6-4-3-5-8-9(6)11-7(2)10-8/h3-5H,1-2H3,(H,10,11)",benzoimidazole
"InChI=1S/C9H10N2/c1-6-4-3-5-8-9(6)11-7(2)10-8/h3-5H,1-2H3,(H,10,11)",benzoimidazole
"InChI=1S/C9H10N2/c1-6-4-3-5-8-9(6)11-7(2)10-8/h3-5H,1-2H3,(H,10,11)",benzoimidazole
"InChI=1S/C9H10N2/c1-6-4-3-5-8-9(6)11-7(2)10-8/h3-5H,1-2H3,(H,10,11)",benzoimidazole
"InChI=1S/C8H7ClN2/c1-5-10-7-4-2-3-6(9)8(7)11-5/h2-4H,1H3,(H,10,11)",benzoimidazole
"InChI=1S/C8H7ClN2/c1-5-10-7-4-2-3-6(9)8(7)11-5/h2-4H,1H3,(H,10,11)",benzoimidazole
"InChI=1S/C8H7ClN2/c1-5-10-7-4-2-3-6(9)8(7)11-5/h2-4H,1H3,(H,10,11)",benzoimidazole
"InChI=1S/C8H7ClN2/c1-5-10-7-4-2-3-6(9)8(7)11-5/h2-4H,1H3,(H,10,11)",benzoimidazole
"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3",aliphatic- nitrogen
"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3",aliphatic- nitrogen
"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3",aliphatic- nitrogen
"InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3",aliphatic- nitrogen
"InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3",aliphatic- nitrogen
"InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3",aliphatic- nitrogen
"InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3",aliphatic- nitrogen
"InChI=1S/C5H11N/c1-6-4-2-3-5-6/h2-5H2,1H3",aliphatic- nitrogen
"InChI=1S/C5H11N/c1-6-4-2-3-5-6/h2-5H2,1H3",aliphatic- nitrogen
"InChI=1S/C5H11N/c1-6-4-2-3-5-6/h2-5H2,1H3",aliphatic- nitrogen
"InChI=1S/C8H10O2/c1-9-7-4-3-5-8(6-7)10-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10O2/c1-9-7-4-3-5-8(6-7)10-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10O2/c1-9-7-4-3-5-8(6-7)10-2/h3-6H,1-2H3",ED aromatic
"InChI=1S/C8H10O2/c1-9-7-4-3-5-8(6-7)10-2/h3-6H,1-2H3",ED aromatic
InChI=1S/C6H12O/c1-2-4-6-7-5-3-1/h1-6H2,aliphatic- oxygen
InChI=1S/C6H12O/c1-2-4-6-7-5-3-1/h1-6H2,aliphatic- oxygen
InChI=1S/C6H12O/c1-2-4-6-7-5-3-1/h1-6H2,aliphatic- oxygen
"InChI=1S/C6H12O/c1-6(2)4-3-5-7-6/h3-5H2,1-2H3",aliphatic- oxygen
"InChI=1S/C6H12O/c1-6(2)4-3-5-7-6/h3-5H2,1-2H3",aliphatic- oxygen
"InChI=1S/C6H12O/c1-6(2)4-3-5-7-6/h3-5H2,1-2H3",aliphatic- oxygen
"InChI=1S/C6H12O/c1-6(2)4-3-5-7-6/h3-5H2,1-2H3",aliphatic- oxygen
"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",ED aromatic
"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",ED aromatic
"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",ED aromatic
"InChI=1S/C7H8S/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",ED aromatic
"InChI=1S/C8H10S/c1-7-3-5-8(9-2)6-4-7/h3-6H,1-2H3",ER aromatic
